ensg	enst	symbol	chr
ENSG00000013503	ENST00000228347	POLR3B	12
ENSG00000136044	ENST00000551662	APPL2	12
ENSG00000136051	ENST00000620430	WASHC4	12
ENSG00000151967	ENST00000445224	SCHIP1	3
ENSG00000166535	ENST00000299698	A2ML1	12
ENSG00000160752	ENST00000356657	FDPS	1
ENSG00000088926	ENST00000403665	F11	4
ENSG00000111775	ENST00000229379	COX6A1	12
ENSG00000111786	ENST00000229390	SRSF9	12
ENSG00000170855	ENST00000546954	TRIAP1	12
ENSG00000131910	ENST00000254227	NR0B2	1
ENSG00000113249	ENST00000625904	HAVCR1	5
ENSG00000067334	ENST00000436063	DNTTIP2	1
ENSG00000011007	ENST00000418390	ELOA	1
ENSG00000160691	ENST00000448116	SHC1	1
ENSG00000197217	ENST00000358689	ENTPD4	8
ENSG00000082515	ENST00000523037	MRPL22	5
ENSG00000067369	ENST00000382044	TP53BP1	15
ENSG00000117318	ENST00000374561	ID3	1
ENSG00000185046	ENST00000547776	ANKS1B	12
ENSG00000119682	ENST00000356357	AREL1	14
ENSG00000255346	ENST00000388866	NOX5	15
ENSG00000143578	ENST00000368607	CREB3L4	1
ENSG00000161204	ENST00000429586	ABCF3	3
ENSG00000100410	ENST00000216252	PHF5A	22
ENSG00000109047	ENST00000226193	RCVRN	17
ENSG00000205758	ENST00000381554	CRYZL1	21
ENSG00000114126	ENST00000489671	TFDP2	3
ENSG00000143556	ENST00000368723	S100A7	1
ENSG00000163221	ENST00000368737	S100A12	1
ENSG00000163218	ENST00000359650	PGLYRP4	1
ENSG00000134193	ENST00000354219	REG4	1
ENSG00000203785	ENST00000368751	SPRR2E	1
ENSG00000184148	ENST00000328051	SPRR4	1
ENSG00000203985	ENST00000371360	LDLRAD1	1
ENSG00000163206	ENST00000368765	SMCP	1
ENSG00000197651	ENST00000358859	CCER1	12
ENSG00000196260	ENST00000359086	SFTA2	6
ENSG00000116731	ENST00000235372	PRDM2	1
ENSG00000185477	ENST00000609438	GPRIN3	4
ENSG00000253313	ENST00000523677	C1orf210	1
ENSG00000161011	ENST00000389805	SQSTM1	5
ENSG00000144744	ENST00000361055	UBA3	3
ENSG00000182533	ENST00000343849	CAV3	3
ENSG00000283199	ENST00000636427	C13orf46	13
ENSG00000187857	ENST00000641576	OR6C75	12
ENSG00000205329	ENST00000641364	OR6C3	12
ENSG00000084636	ENST00000373672	COL16A1	1
ENSG00000163159	ENST00000354473	VPS72	1
ENSG00000080293	ENST00000019103	SCTR	2
ENSG00000115053	ENST00000322723	NCL	2
ENSG00000163755	ENST00000296051	HPS3	3
ENSG00000171121	ENST00000314235	KCNMB3	3
ENSG00000158258	ENST00000458420	CLSTN2	3
ENSG00000170605	ENST00000305377	OR9K2	12
ENSG00000162494	ENST00000376085	LRRC38	1
ENSG00000138688	ENST00000264501	KIAA1109	4
ENSG00000137727	ENST00000260283	ARHGAP20	11
ENSG00000128335	ENST00000249066	APOL2	22
ENSG00000010818	ENST00000367604	HIVEP2	6
ENSG00000204479	ENST00000376098	PRAMEF17	1
ENSG00000198948	ENST00000361618	MFAP3L	4
ENSG00000177728	ENST00000375248	TMEM94	17
ENSG00000135269	ENST00000358204	TES	7
ENSG00000169067	ENST00000423391	ACTBL2	5
ENSG00000196663	ENST00000359520	TECPR2	14
ENSG00000163166	ENST00000295321	IWS1	2
ENSG00000266472	ENST00000581066	MRPS21	1
ENSG00000163872	ENST00000305135	YEATS2	3
ENSG00000153002	ENST00000491148	CPB1	3
ENSG00000054983	ENST00000261304	GALC	14
ENSG00000161904	ENST00000293760	LEMD2	6
ENSG00000140538	ENST00000360948	NTRK3	15
ENSG00000100100	ENST00000215912	PIK3IP1	22
ENSG00000179388	ENST00000317216	EGR3	8
ENSG00000137692	ENST00000260247	DCUN1D5	11
ENSG00000117360	ENST00000324862	PRPF3	1
ENSG00000100105	ENST00000266269	PATZ1	22
ENSG00000141627	ENST00000269445	DYM	18
ENSG00000120889	ENST00000276431	TNFRSF10B	8
ENSG00000136457	ENST00000508540	CHAD	17
ENSG00000156381	ENST00000286918	ANKRD9	14
ENSG00000204852	ENST00000397659	TCTN1	12
ENSG00000089116	ENST00000261731	LHX5	12
ENSG00000167107	ENST00000427954	ACSF2	17
ENSG00000203995	ENST00000371528	ZYG11A	1
ENSG00000100387	ENST00000216225	RBX1	22
ENSG00000262484	ENST00000571838	CCER2	19
ENSG00000170374	ENST00000536324	SP7	12
ENSG00000131050	ENST00000253362	BPIFA2	20
ENSG00000198429	ENST00000340180	ZNF69	19
ENSG00000097046	ENST00000428239	CDC7	1
ENSG00000171566	ENST00000499023	PLRG1	4
ENSG00000126368	ENST00000246672	NR1D1	17
ENSG00000158457	ENST00000486685	TSPAN33	7
ENSG00000174718	ENST00000312561	KIAA1551	12
ENSG00000110717	ENST00000313468	NDUFS8	11
ENSG00000196757	ENST00000622593	ZNF700	19
ENSG00000176692	ENST00000320354	FOXC2	16
ENSG00000163125	ENST00000369068	RPRD2	1
ENSG00000126351	ENST00000264637	THRA	17
ENSG00000176678	ENST00000320241	FOXL1	16
ENSG00000197054	ENST00000343949	ZNF763	19
ENSG00000145386	ENST00000274026	CCNA2	4
ENSG00000111144	ENST00000228740	LTA4H	12
ENSG00000176092	ENST00000475866	CRYBG2	1
ENSG00000146433	ENST00000367090	TMEM181	6
ENSG00000111110	ENST00000228705	PPM1H	12
ENSG00000123737	ENST00000379663	EXOSC9	4
ENSG00000134020	ENST00000256404	PEBP4	8
ENSG00000060688	ENST00000263694	SNRNP40	1
ENSG00000121690	ENST00000241051	DEPDC7	11
ENSG00000100393	ENST00000263253	EP300	22
ENSG00000008853	ENST00000519685	RHOBTB2	8
ENSG00000130560	ENST00000371756	UBAC1	9
ENSG00000135931	ENST00000611582	ARMC9	2
ENSG00000180834	ENST00000318631	MAP6D1	3
ENSG00000166823	ENST00000300057	MESP1	15
ENSG00000185591	ENST00000327443	SP1	12
ENSG00000185163	ENST00000397333	DDX51	12
ENSG00000125733	ENST00000313244	TRIP10	19
ENSG00000146425	ENST00000367089	DYNLT1	6
ENSG00000180938	ENST00000319286	ZNF572	8
ENSG00000175193	ENST00000317096	PARL	3
ENSG00000177303	ENST00000321617	CASKIN2	17
ENSG00000143374	ENST00000369064	TARS2	1
ENSG00000138641	ENST00000402738	HERC3	4
ENSG00000203780	ENST00000368693	FANK1	10
ENSG00000008838	ENST00000501516	MED24	17
ENSG00000142973	ENST00000371923	CYP4B1	1
ENSG00000090621	ENST00000372858	PABPC4	1
ENSG00000226742	ENST00000451882	HSBP1L1	18
ENSG00000116726	ENST00000357726	PRAMEF12	1
ENSG00000026652	ENST00000320285	AGPAT4	6
ENSG00000141759	ENST00000269601	TXNL4A	18
ENSG00000116721	ENST00000332296	PRAMEF1	1
ENSG00000186951	ENST00000407236	PPARA	22
ENSG00000103264	ENST00000311635	FBXO31	16
ENSG00000260097	ENST00000563237	SPDYE6	7
ENSG00000122986	ENST00000356742	HVCN1	12
ENSG00000239810	ENST00000619922	PRAMEF11	1
ENSG00000255072	ENST00000527353	PIGY	4
ENSG00000145337	ENST00000273968	PYURF	4
ENSG00000137714	ENST00000260270	FDX1	11
ENSG00000163349	ENST00000369558	HIPK1	1
ENSG00000177432	ENST00000323061	NAP1L5	4
ENSG00000188095	ENST00000341735	MESP2	15
ENSG00000260456	ENST00000567970	C16orf95	16
ENSG00000179172	ENST00000317869	HNRNPCL1	1
ENSG00000166596	ENST00000352665	CFAP52	17
ENSG00000187231	ENST00000428443	SESTD1	2
ENSG00000128602	ENST00000249373	SMO	7
ENSG00000185100	ENST00000332972	ADSSL1	14
ENSG00000120952	ENST00000240189	PRAMEF2	1
ENSG00000121310	ENST00000371522	ECHDC2	1
ENSG00000067177	ENST00000373542	PHKA1	X
ENSG00000069702	ENST00000212355	TGFBR3	1
ENSG00000065978	ENST00000321358	YBX1	1
ENSG00000188883	ENST00000340940	KLRG2	7
ENSG00000140941	ENST00000268607	MAP1LC3B	16
ENSG00000188338	ENST00000614032	SLC38A3	3
ENSG00000166825	ENST00000300060	ANPEP	15
ENSG00000128626	ENST00000407800	MRPS12	19
ENSG00000119688	ENST00000356924	ABCD4	14
ENSG00000269190	ENST00000292852	FBXO17	19
ENSG00000104870	ENST00000221466	FCGRT	19
ENSG00000154914	ENST00000285199	USP43	17
ENSG00000186628	ENST00000334574	FSD2	15
ENSG00000008283	ENST00000582997	CYB561	17
ENSG00000104835	ENST00000600042	SARS2	19
ENSG00000144476	ENST00000272928	ACKR3	2
ENSG00000236279	ENST00000422142	CLEC2L	7
ENSG00000186298	ENST00000340766	PPP1CC	12
ENSG00000169403	ENST00000373857	PTAFR	1
ENSG00000122965	ENST00000545145	RBM19	12
ENSG00000166947	ENST00000568508	EPB42	15
ENSG00000144810	ENST00000261037	COL8A1	3
ENSG00000232423	ENST00000376189	PRAMEF6	1
ENSG00000126698	ENST00000263697	DNAJC8	1
ENSG00000204510	ENST00000616979	PRAMEF7	1
ENSG00000089902	ENST00000262241	RCOR1	14
ENSG00000187545	ENST00000235347	PRAMEF10	1
ENSG00000130812	ENST00000253109	ANGPTL6	19
ENSG00000243073	ENST00000235349	PRAMEF4	1
ENSG00000130770	ENST00000335514	ATP5IF1	1
ENSG00000130813	ENST00000253110	C19orf66	19
ENSG00000205643	ENST00000314567	CDPF1	22
ENSG00000011478	ENST00000012049	QPCTL	19
ENSG00000121766	ENST00000615916	ZCCHC17	1
ENSG00000137842	ENST00000260403	TMEM62	15
ENSG00000125743	ENST00000342669	SNRPD2	19
ENSG00000135409	ENST00000257863	AMHR2	12
ENSG00000205593	ENST00000413817	DENND6B	22
ENSG00000066084	ENST00000301180	DIP2B	12
ENSG00000187764	ENST00000450295	SEMA4D	9
ENSG00000164674	ENST00000611299	SYTL3	6
ENSG00000106013	ENST00000265224	ANKRD7	7
ENSG00000163754	ENST00000345003	GYG1	3
ENSG00000150403	ENST00000434316	TMCO3	13
ENSG00000149256	ENST00000278550	TENM4	11
ENSG00000159189	ENST00000374639	C1QC	1
ENSG00000072041	ENST00000266682	SLC6A15	12
ENSG00000166946	ENST00000300213	CCNDBP1	15
ENSG00000188011	ENST00000343216	RTP5	2
ENSG00000177565	ENST00000430069	TBL1XR1	3
ENSG00000184967	ENST00000330579	NOC4L	12
ENSG00000122786	ENST00000361675	CALD1	7
ENSG00000182307	ENST00000331434	C8orf33	8
ENSG00000117298	ENST00000374893	ECE1	1
ENSG00000173369	ENST00000314933	C1QB	1
ENSG00000104549	ENST00000265896	SQLE	8
ENSG00000143369	ENST00000369049	ECM1	1
ENSG00000151746	ENST00000281474	BICD1	12
ENSG00000131059	ENST00000375454	BPIFA3	20
ENSG00000089225	ENST00000310346	TBX5	12
ENSG00000176083	ENST00000436292	ZNF683	1
ENSG00000184408	ENST00000331113	KCND2	7
ENSG00000183770	ENST00000330315	FOXL2	3
ENSG00000174840	ENST00000311180	PDE12	3
ENSG00000114473	ENST00000265239	IQCG	3
ENSG00000198612	ENST00000354371	COPS8	2
ENSG00000206262	ENST00000383165	FOXL2NB	3
ENSG00000143933	ENST00000272298	CALM2	2
ENSG00000125863	ENST00000347364	MKKS	20
ENSG00000148411	ENST00000277554	NACC2	9
ENSG00000171564	ENST00000302068	FGB	4
ENSG00000114626	ENST00000232744	ABTB1	3
ENSG00000005020	ENST00000345317	SKAP2	7
ENSG00000130943	ENST00000253255	PKDREJ	22
ENSG00000198951	ENST00000396398	NAGA	22
ENSG00000238227	ENST00000418388	TMEM250	9
ENSG00000123374	ENST00000266970	CDK2	12
ENSG00000112414	ENST00000367609	ADGRG6	6
ENSG00000135111	ENST00000257566	TBX3	12
ENSG00000173175	ENST00000462833	ADCY5	3
ENSG00000078674	ENST00000325083	PCM1	8
ENSG00000156232	ENST00000286760	WHAMM	15
ENSG00000137601	ENST00000507142	NEK1	4
ENSG00000131914	ENST00000326279	LIN28A	1
ENSG00000183066	ENST00000328823	WBP2NL	22
ENSG00000176102	ENST00000323959	CSTF3	11
ENSG00000239605	ENST00000445927	STPG4	2
ENSG00000182899	ENST00000464167	RPL35A	3
ENSG00000110721	ENST00000265689	CHKA	11
